Metabolite,Compound_ID_X01,Original_Metabolite_Name,HMDB_ID,Known_Compound,Included_X01,Included_Pilot,Included_MESA2,Assay,Known,cv_percent,n_pools,missing_exam_1,missing_exam_5,missing_exam_6,missing_all_exams
HILIC_QI07304,QI07304,NA,,0,1,1,1,HILIC,1,16.713996289869705,535,0.6431372549019608,0.73715733701912,1.3621262458471761,0.8305405799213171
HILIC_Acetaminophen,QI07500,Acetaminophen,HMDB0001859,1,1,1,1,HILIC,1,9.966813864992275,535,0.5333333333333333,1.01359133840129,0.9634551495016611,0.7795424741366749
HILIC_QI12224,QI12224,NA,,0,1,1,1,HILIC,1,10.020096495843713,535,0.25098039215686274,0.09214466712739,0.3654485049833887,0.22584875418913014
C8_PC.P.33.0,QI3828,PC P-33:0,HMDB0011238,1,1,1,1,C8,1,11.01877507560061,513,0.26666666666666666,0.36857866850956,0.09966777408637872,0.26227597260673174
C8_QI3007,QI3007,NA,,0,1,1,1,C8,0,10.342034056822358,514,0.3607843137254902,0.23036166781847503,0.132890365448505,0.2695614162902521
C8_QI11299,QI11299,NA,,0,1,1,1,C8,0,18.73425536921208,512,0.2823529411764706,0.3455425017277125,0.7641196013289037,0.40798484627713827
C8_QI10390,QI10390,NA,,0,1,1,1,C8,0,11.70474853980562,514,0.25098039215686274,0.46072333563695006,0.5647840531561462,0.38612851522657726
C8_QI7578,QI7578,NA,,0,1,1,1,C8,0,5.3270734718781,514,0.4235294117647058,0.8984105044920525,0.33222591362126247,0.5536937199475448
C8_TG.48.0,QI6991,TG 48:0,HMDB0005356,1,1,1,1,C8,1,4.652879069443082,514,0.26666666666666666,0.322506334945865,0.26578073089701,0.2841323036572927
C8_QI3722,QI3722,NA,,0,1,1,1,C8,0,44.017214467523644,509,0.2196078431372549,0.2994701681640175,3.0232558139534884,0.8596823546553984
C8_QI4968,QI4968,NA,,0,1,1,1,C8,0,7.711388093282275,514,0.40784313725490196,0.46072333563695006,0.3654485049833887,0.41527028996065857
C8_CE.20.6,QI4891,CE 20:6,NA,1,1,1,1,C8,1,6.677941289997863,514,0.5176470588235295,0.783229670582815,0.23255813953488372,0.5391228325805042
C8_QI7273,QI7273,NA,,0,1,1,1,C8,0,13.279057827421315,514,0.39215686274509803,1.4052061736926975,0.132890365448505,0.6556899315168294
C8_QI5445,QI5445,NA,,0,1,1,1,C8,0,9.32233529179619,514,0.2980392156862745,0.322506334945865,0.16611295681063123,0.2768468599737724
C8_QI7945,QI7945,NA,,0,1,1,1,C8,0,27.673719895633425,514,0.3764705882352941,0.4376871688551025,0.16611295681063123,0.34970129680897566
HILIC_Pro.hydroxyPro,QI19590,Pro-hydroxyPro,HMDB0006695,1,1,1,1,HILIC,1,9.594933365218411,535,0.2352941176470588,0.23036166781847503,0.132890365448505,0.21127786682208943
HILIC_QI07535,QI07535,NA,,0,1,1,1,HILIC,1,29.21945655923813,534,0.34509803921568627,0.414651002073255,0.4983388704318937,0.4006994025936179
HILIC_QI08855,QI08855,NA,,0,1,1,1,HILIC,1,20.94196573160684,535,0.40784313725490196,0.8523381709283575,0.4318936877076412,0.5536937199475448
HILIC_QI12724,QI12724,NA,,0,1,1,1,HILIC,1,7.780046347030639,535,0.26666666666666666,0.18428933425478,0.3654485049833887,0.26227597260673174
C8_PC.O.31.0,QI8641,PC O-31:0,NA,1,1,1,1,C8,1,16.56912954443081,514,0.40784313725490196,0.3455425017277125,0.132890365448505,0.3278449657584147
C8_QI7917,QI7917,NA,,0,1,1,1,C8,0,21.62998273258734,514,0.4549019607843137,0.6680488366735775,0.16611295681063123,0.4589829520617806
HILIC_CAR.12.3,QI17349,CAR 12:3,HMDB0241271,1,1,1,1,HILIC,1,25.712364577492753,535,0.3137254901960784,0.506795669200645,0,0.30598863470785376
C8_TG.54.9,TF23,TG 54:9,HMDB0010498,1,1,1,1,C8,1,3.630593310346704,514,0.39215686274509803,0.46072333563695006,0.6644518272425249,0.47355383942882123
C8_TG.60.12,QI5016,TG 60:12,HMDB0005478,1,1,1,1,C8,1,4.016244514724413,514,0.40784313725490196,0.18428933425478,0.16611295681063123,0.2841323036572927
C8_QI901,QI901,NA,,0,1,1,1,C8,0,26.40926035153556,513,0.34509803921568627,0.2994701681640175,0.16611295681063123,0.29141774734081305
C8_QI4414,QI4414,NA,,0,1,1,1,C8,0,36.18590989872328,514,0.25098039215686274,0.4376871688551025,0.6312292358803987,0.3934139589100976
HILIC_QI03424,QI03424,NA,,0,1,1,1,HILIC,1,26.406737902738612,535,0.25098039215686274,0.5298318359824925,1.1295681063122924,0.5318373888969838
HILIC_QI08991,QI08991,NA,,0,1,1,1,HILIC,1,28.164603215127997,534,0.4705882352941176,0.322506334945865,1.4617940199335548,0.6411190441497887
HILIC_QI14511,QI14511,NA,,0,1,1,1,HILIC,1,11.68305129111682,535,0.3607843137254902,0.6219765031098825,0.09966777408637872,0.38612851522657726
Amide_S.Adenosyl.L.homocysteine,NA,S-Adenosyl-L-homocysteine,HMDB0000939,1,1,1,1,Amide,1,18.488428559872457,286,0.2980392156862745,0.1612531674729325,0.09966777408637872,0.21127786682208943
Amide_Oleoyl.Phenylalanine,NA,Oleoyl Phenylalanine,HMDB0062336,1,1,1,1,Amide,1,27.325339521676767,286,0.32941176470588235,0.27643400138217,0.09966777408637872,0.26227597260673174
