Metabolite,PC1,Assay,Known,cv_percent,n_pools,missing_exam_1,missing_exam_5,missing_exam_6,missing_all_exams
C8_QI1244,-0.05139514478854869,C8,0,13.058555141644494,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI1196,-0.051319343341215864,C8,0,9.695954958618826,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI1817,-0.05123538993798608,C8,0,5.628301506009931,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI8611,-0.05123018059402538,C8,0,3.3811109464397116,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11207,-0.05115854380089596,C8,0,13.026792172835014,514,0.0784313725490196,0.0691085003455425,0.09966777408637872,0.08013988051872359
C8_QI11632,-0.05090416041340428,C8,0,5.148635798221773,514,0.18823529411764706,0.322506334945865,0.09966777408637872,0.21127786682208943
C8_QI1446,-0.050655021599510325,C8,0,18.32597834450044,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_CE.16.0,-0.05057289112931327,C8,1,3.0573094481709497,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI10253,-0.05021666937487946,C8,0,15.49436934999411,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI9524,-0.05018355410685004,C8,0,3.8200313721687085,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI1542,-0.0500551183155589,C8,0,8.494926305360236,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI8758,-0.050031415234905535,C8,0,5.3166634948475355,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI611,-0.04997844009942754,C8,0,10.478459528599702,514,0.09411764705882353,0.0691085003455425,0.09966777408637872,0.08742532420224391
C8_PC.O.38.5,-0.0498692760487379,C8,1,2.9489053981535127,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI1567,-0.04986637112406799,C8,0,7.213589915434316,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_CE.18.0,-0.049837885651816266,C8,1,2.461945164790438,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_SM.34.2.O2,-0.04983151837039625,C8,1,3.5645129393839863,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI2181,-0.04945658294845127,C8,0,43.41316952082831,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_SM.38.1.O2,-0.049427120095495006,C8,1,3.199795214527317,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI10698,-0.04929379155408435,C8,0,5.732172025502439,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI9057,-0.049188890445107894,C8,0,4.295694203368425,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI8783,-0.049098393684394316,C8,0,8.281048132084026,514,0.0784313725490196,0.09214466712739,0.09966777408637872,0.08742532420224391
C8_SM.42.2.O2,-0.04884608705503256,C8,1,3.5569423552516444,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_SM.40.1.O2,-0.04878493611788803,C8,1,3.3486774415122245,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_CE.18.2,-0.04870437355474785,C8,1,2.7336719355761425,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI3736,-0.04817591957652118,C8,0,7.012970458203645,514,0.0784313725490196,0.09214466712739,0.09966777408637872,0.08742532420224391
C8_QI3940,-0.048168306938368,C8,0,3.1954837240537737,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI3552,-0.048123178413580193,C8,0,3.309855128372854,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_SM.41.1.O2,-0.04796740935810934,C8,1,3.33867730855487,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_PC.36.0,-0.04795509414329659,C8,1,5.5228640196845795,514,0.0784313725490196,0.09214466712739,0.132890365448505,0.09471076788576424
C8_QI8768,-0.04791636908006419,C8,0,4.208783132890633,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_SM.41.2.O2,-0.047890329419503275,C8,1,3.2345089929153947,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI4470,-0.047850285545195013,C8,0,2.74164584793415,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_SM.34.0.O2,-0.04782298616337782,C8,1,3.8474532328047992,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI2343,-0.047769210720749286,C8,0,23.57177730696587,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI10936,-0.04766925750177898,C8,0,14.911590936641424,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_Cer.34.1.O2,-0.04762026747556689,C8,1,6.344896282890204,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_PC.O.34.1,-0.04757491418704571,C8,1,3.4407491895130926,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_PC.36.3,-0.0474341624255745,C8,1,3.3118147816445127,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_Cholestenone,-0.047402536328780054,C8,1,4.380790000045973,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_SM.42.1.O2,-0.0473738080193736,C8,1,3.666696019666264,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI10031,-0.04723804944687884,C8,0,13.155322268761235,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_SM.33.1.O2,-0.04723373062639805,C8,1,3.298713121697503,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_CE.18.1,-0.04709969224355594,C8,1,2.2160017987643057,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_SM.36.1.O2,-0.047065660709424605,C8,1,3.746649224988862,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI11760,-0.047004130119601466,C8,0,6.443818602696771,514,0.0784313725490196,0.0691085003455425,0.09966777408637872,0.08013988051872359
C8_PC.O.36.4,-0.04698325075575243,C8,1,2.881809717056952,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI3560,-0.04692596133834171,C8,0,3.3392719233813652,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_PC.37.2,-0.04689148189828541,C8,1,3.515771498300101,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI8680,-0.04685068694512874,C8,0,4.94780831662933,514,0.0784313725490196,0.09214466712739,0.09966777408637872,0.08742532420224391
C8_SM.38.2.O2,-0.046828714516280644,C8,1,3.892594723059273,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI1012,-0.046714235666787535,C8,0,15.451197912213658,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI8262,-0.04653243326779436,C8,0,3.09935559532957,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI8844,-0.04633020782312299,C8,0,4.272526031240961,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI11767,-0.04629308214013372,C8,0,5.949383464705093,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI4143,-0.04615872819851951,C8,0,9.921365684442863,514,0.0784313725490196,0.09214466712739,0.09966777408637872,0.08742532420224391
C8_PC.O.32.0,-0.046112878909643246,C8,1,3.606731887550237,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI717,-0.04600536252698173,C8,0,9.10806886350446,514,0.0784313725490196,0.0691085003455425,0.09966777408637872,0.08013988051872359
C8_QI9065,-0.045985267703631885,C8,0,4.982568258780585,514,0.0784313725490196,0.09214466712739,0.09966777408637872,0.08742532420224391
C8_QI1210,-0.04595960918547222,C8,0,13.191093510484928,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11754,-0.04595577734877712,C8,0,6.09181933780302,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11299,-0.04572413046265617,C8,0,18.73425536921208,512,0.2823529411764706,0.3455425017277125,0.7641196013289037,0.40798484627713827
C8_QI1942,-0.04553782555621302,C8,0,21.282360083192387,514,0.0784313725490196,0.0691085003455425,0.132890365448505,0.08742532420224391
C8_Hex2Cer.34.1.O2,-0.04553133338007998,C8,1,3.7018503962570857,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI1191,-0.045507948402457324,C8,0,13.373165343473856,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_PC.40.9,-0.04538055567822684,C8,1,2.4400011551871437,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11343,-0.04536919902789913,C8,0,13.665638937940999,514,0.0784313725490196,0.0691085003455425,0.09966777408637872,0.08013988051872359
C8_QI9619,-0.04534328192915813,C8,0,35.3935868578478,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_PC.38.4,-0.04519590542651627,C8,1,2.69542824662074,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_PC.38.2,-0.045195851387021896,C8,1,3.4128274768431064,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
